Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,,BAG Turgi (1909 - 1998).,,,,La Bronzewarenfabrik AG (BAG) était l’un des plus grands fabricants de luminaires en Europe.,D.Moor,,,,,luminaire_2395.jpg,,,,
Non,,BAG Turgi (1909 - 1998).,,,,La Bronzewarenfabrik AG (BAG) était l’un des plus grands fabricants de luminaires en Europe.,D.Moor,,,,,luminaire_2396.jpg,,,,
Non,,BAG Turgi (1909 - 1998).,,,,La Bronzewarenfabrik AG (BAG) était l’un des plus grands fabricants de luminaires en Europe.,D.Moor,,,,,luminaire_2397.jpg,,,,
Non,,BAG Turgi (1909 - 1998).,,,,La Bronzewarenfabrik AG (BAG) était l’un des plus grands fabricants de luminaires en Europe.,D.Moor,,,,,luminaire_2398.jpg,,,,
Non,,Baguès (1840 - à nos jours).,,,,"En 1860, elle se spécialise dans les bronzes d’éclairage avec succès.",,,,,,luminaire_389.jpg,,,,
Non,Attribué,Baguès (1840 - à nos jours).,,,,"En 1860, elle se spécialise dans les bronzes d’éclairage avec succès.",,,,,,luminaire_388.jpg,,,,
Non,Attribué,Baguès (1840 - à nos jours).,,,,"En 1860, elle se spécialise dans les bronzes d’éclairage avec succès.",,,,,,luminaire_390.jpg,,,,
Non,Mobilier National,Baguès (1840 - à nos jours).,1949,,,"En 1860, elle se spécialise dans les bronzes d’éclairage avec succès.",,,,,,luminaire_391.jpg,,,,
Non,,Baguès (1840 -).,,,,La marque de luminaires Baguès est l'un des symboles du savoir-faire et de l'excellence à la française.,,,,,,luminaire_1493.jpg,,,,
Non,,Baguès (1840 -).,,,,La marque de luminaires Baguès est l'un des symboles du savoir-faire et de l'excellence à la française.,,,,,,luminaire_1494.jpg,,,,
Non,Mobilier national - Ca,Baguès (1840 -).,1937,,,La marque de luminaires Baguès est l'un des symboles du savoir-faire et de l'excellence à la française.,,,,,,luminaire_1491.jpg,,,,
Non,Mobilier national - Ca Ex,Baguès (1840 -).,1949,,,La marque de luminaires Baguès est l'un des symboles du savoir-faire et de l'excellence à la française.,,,,,,luminaire_1492.jpg,,,,
Non,Pavillon de l’Elégance Exposition universelle de,Baguès (1840 -).,1925,,,La marque de luminaires Baguès est l'un des symboles du savoir-faire et de l'excellence à la française.,,,,,,luminaire_1490.jpg,,,,
Non,,Bakalowits & Sohne (1845 - à nos jours).,,,,Producteur de lustres en cristal basé à Vienne.,"Cari Zalloni, Friedi Bakalowits,",,,,,luminaire_2466.jpg,,,,
Non,,Bakalowits & Sohne (1845 - à nos jours).,,,,Producteur de lustres en cristal basé à Vienne.,"Cari Zalloni, Friedi Bakalowits,",,,,,luminaire_2467.jpg,,,,
Non,,Bakalowits & Sohne (1845 - à nos jours).,,,,Producteur de lustres en cristal basé à Vienne.,"Cari Zalloni, Friedi Bakalowits,",,,,,luminaire_2468.jpg,,,,
Non,,Bakalowits & Sohne (1845 - à nos jours).,,,,Producteur de lustres en cristal basé à Vienne.,"Cari Zalloni, Friedi Bakalowits,",,,,,luminaire_2469.jpg,,,,
Non,,Bakalowits & Sohne (1845 - à nos jours).,,,,Producteur de lustres en cristal basé à Vienne.,"Cari Zalloni, Friedi Bakalowits,",,,,,luminaire_2470.jpg,,,,
Non,,Bakalowits & Sohne (1845 - à nos jours).,,,,Producteur de lustres en cristal basé à Vienne.,"Cari Zalloni, Friedi Bakalowits,",,,,,luminaire_2471.jpg,,,,
Non,1735-1736,Balthasar Friedrich Behrens (1701-1760),,,,Orfèvre allemand.,Dessin de William Kent,,,,,luminaire_251.jpg,,,,
Non,,Barovier & Toso (1295 - ).,,,,Entreprise italienne spécialisée dans la verrerie de Murano. Elle a toujours été détenue et dirigée par la famille Barovier,,,,,,luminaire_4792.jpg,,,,
Non,,Barovier & Toso (1295 - ).,,,,Entreprise italienne spécialisée dans la verrerie de Murano. Elle a toujours été détenue et dirigée par la famille Barovier,,,,,,luminaire_4793.jpg,,,,
Non,,Barovier & Toso (1295 - ).,,,,Entreprise italienne spécialisée dans la verrerie de Murano. Elle a toujours été détenue et dirigée par la famille Barovier,,,,,,luminaire_4794.jpg,,,,
Non,,Barovier & Toso (1295 - ).,,,,Entreprise italienne spécialisée dans la verrerie de Murano. Elle a toujours été détenue et dirigée par la famille Barovier,,,,,,luminaire_4795.jpg,,,,
Non,,Barovier & Toso (1295 - ).,,,,Entreprise italienne spécialisée dans la verrerie de Murano. Elle a toujours été détenue et dirigée par la famille Barovier,,,,,,luminaire_4796.jpg,,,,
Non,,Barovier & Toso (1295 - ).,,,,Entreprise italienne spécialisée dans la verrerie de Murano. Elle a toujours été détenue et dirigée par la famille Barovier,,,,,,luminaire_4797.jpg,,,,
Non,Brejos,Barracuda Editions ( - ).,,,,Editeur de luminaire portugais.,,,,,,luminaire_8644.jpg,,,,
Non,Melides,Barracuda Editions ( - ).,,,,Editeur de luminaire portugais.,,,,,,luminaire_8641.jpg,,,,
Non,Nizwa,Barracuda Editions ( - ).,,,,Editeur de luminaire portugais.,,,,,,luminaire_8646.jpg,,,,
Non,Normandy,Barracuda Editions ( - ).,,,,Editeur de luminaire portugais.,,,,,,luminaire_8642.jpg,,,,
Non,Sevilla,Barracuda Editions ( - ).,,,,Editeur de luminaire portugais.,,,,,,luminaire_8643.jpg,,,,
Non,Sintra,Barracuda Editions ( - ).,,,,Editeur de luminaire portugais.,,,,,,luminaire_8645.jpg,,,,
Non,Dune,Bastien Taillard (?-?).,,,,Designer français.,Radar,,,,,luminaire_6400.jpg,,,,
Non,Fractale,Bastien Taillard (?-?).,,,,Designer français.,Radar,,,,,luminaire_6397.jpg,,,,
Non,Lafayette,Bastien Taillard (?-?).,,,,Designer français.,Radar,,,,,luminaire_6395.jpg,,,,
Non,Solar,Bastien Taillard (?-?).,,,,Designer français.,Radar,,,,,luminaire_6396.jpg,,,,
Non,Solferino,Bastien Taillard (?-?).,,,,Designer français.,Radar,,,,,luminaire_6399.jpg,,,,
Non,Zenith,Bastien Taillard (?-?).,,,,Designer français.,Radar,,,,,luminaire_6401.jpg,,,,
Non,,Bathsheba Grossman (1966 - ).,,,,Artiste et sculptrice américaine.,,,,,,luminaire_7107.jpg,,,,
Non,Flame,Bathsheba Grossman (1966 - ).,,,,Artiste et sculptrice américaine.,,,,,,luminaire_7105.jpg,,,,
Non,Quin,Bathsheba Grossman (1966 - ).,,,,Artiste et sculptrice américaine.,,,,,,luminaire_7108.jpg,,,,
Non,Torus,Bathsheba Grossman (1966 - ).,,,,Artiste et sculptrice américaine.,,,,,,luminaire_7106.jpg,,,,
Non,Haïku,Baxter (-).,,,,Editeur de luminaire italien.,,,,,,luminaire_9063.jpg,,,,
Non,Hubble,Baxter (-).,,,,Editeur de luminaire italien.,,,,,,luminaire_9060.jpg,,,,
Non,Lais,Baxter (-).,,,,Editeur de luminaire italien.,,,,,,luminaire_9061.jpg,,,,
Non,Q3,Baxter (-).,,,,Editeur de luminaire italien.,,,,,,luminaire_9059.jpg,,,,
Non,Tunnel,Baxter (-).,,,,Editeur de luminaire italien.,,,,,,luminaire_9062.jpg,,,,
Non,Aries IV.I,Bec Brittain (1980 - ).,,,,"Designer américain, fondateur en 2011 de Bec Brittain fabricant de luminaires.",Triode,,,,,luminaire_7070.jpg,,,,
Non,Confirmé,Bec Brittain (1980 - ).,,,,"Designer américain, fondateur en 2011 de Bec Brittain fabricant de luminaires.",Triode,,,,,luminaire_7073.jpg,,,,
Non,Echo 1,Bec Brittain (1980 - ).,,,,"Designer américain, fondateur en 2011 de Bec Brittain fabricant de luminaires.",Triode,,,,,luminaire_7069.jpg,,,,
Non,Fka Themis,Bec Brittain (1980 - ).,,,,"Designer américain, fondateur en 2011 de Bec Brittain fabricant de luminaires.",Triode,,,,,luminaire_7071.jpg,,,,
Non,Shy 18,Bec Brittain (1980 - ).,,,,"Designer américain, fondateur en 2011 de Bec Brittain fabricant de luminaires.",Triode,,,,,luminaire_7074.jpg,,,,
Non,Vise,Bec Brittain (1980 - ).,,,,"Designer américain, fondateur en 2011 de Bec Brittain fabricant de luminaires.",Triode,,,,,luminaire_7072.jpg,,,,
Non,Ca,BEGA (1945 - à nos jours).,1950,,,Entreprise de conception de luminaire allemande. Fondé par Heinrich Gantenbrink.,"Boom Verrerie, Glashütte Limburg.",,,,,luminaire_1874.jpg,,,,
Non,Modèle 158,BEGA (1945 - à nos jours).,1956,,,Entreprise de conception de luminaire allemande. Fondé par Heinrich Gantenbrink.,"Boom Verrerie, Glashütte Limburg.",,,,,luminaire_1872.jpg,,,,
Non,Modèle 245 - Ca,BEGA (1945 - à nos jours).,1960,,,Entreprise de conception de luminaire allemande. Fondé par Heinrich Gantenbrink.,"Boom Verrerie, Glashütte Limburg.",,,,,luminaire_1869.jpg,,,,
Non,Modèle 3048 - Ca,BEGA (1945 - à nos jours).,1960,,,Entreprise de conception de luminaire allemande. Fondé par Heinrich Gantenbrink.,"Boom Verrerie, Glashütte Limburg.",,,,,luminaire_1871.jpg,,,,
Non,Modèle 3259 - Ca,BEGA (1945 - à nos jours).,1950,,,Entreprise de conception de luminaire allemande. Fondé par Heinrich Gantenbrink.,"Boom Verrerie, Glashütte Limburg.",,,,,luminaire_1873.jpg,,,,
Non,Modèle 4865 - Ca,BEGA (1945 - à nos jours).,1970,,,Entreprise de conception de luminaire allemande. Fondé par Heinrich Gantenbrink.,"Boom Verrerie, Glashütte Limburg.",,,,,luminaire_1870.jpg,,,,
Non,,Beltrami & Gencarelli (?-?).,,,,Designers italiens.,,,,,,luminaire_4805.jpg,,,,
Non,,Beltrami & Gencarelli (?-?).,,,,Designers italiens.,,,,,,luminaire_4806.jpg,,,,
Non,Gemini,Ben & Aja Blanc (?-?).,,,,"Le studio américain conçoit et crée des miroirs, des éclairages, des meubles et des objets sur mesure.",,,,,,luminaire_7582.jpg,,,,
Non,Lyra,Ben & Aja Blanc (?-?).,,,,"Le studio américain conçoit et crée des miroirs, des éclairages, des meubles et des objets sur mesure.",,,,,,luminaire_7581.jpg,,,,
Non,Moon light,Ben & Aja Blanc (?-?).,,,,"Le studio américain conçoit et crée des miroirs, des éclairages, des meubles et des objets sur mesure.",,,,,,luminaire_7579.jpg,,,,
Non,Moon light,Ben & Aja Blanc (?-?).,,,,"Le studio américain conçoit et crée des miroirs, des éclairages, des meubles et des objets sur mesure.",,,,,,luminaire_7584.jpg,,,,
Non,Nova,Ben & Aja Blanc (?-?).,,,,"Le studio américain conçoit et crée des miroirs, des éclairages, des meubles et des objets sur mesure.",,,,,,luminaire_7580.jpg,,,,
Non,Rodin,Ben & Aja Blanc (?-?).,,,,"Le studio américain conçoit et crée des miroirs, des éclairages, des meubles et des objets sur mesure.",,,,,,luminaire_7578.jpg,,,,
Non,,Ben Demmers (?-?).,,,,Designer Hollandais.,BD Design,,,,,luminaire_5426.jpg,,,,
Non,Florence,Ben Demmers (?-?).,,,,Designer Hollandais.,BD Design,,,,,luminaire_5425.jpg,,,,
Non,,Ben Seibel (1918 - 1985).,,,,Designer industriel américain.,Raymor,,,,,luminaire_2753.jpg,,,,
Non,,Ben Seibel (1918 - 1985).,,,,Designer industriel américain.,Raymor,,,,,luminaire_2754.jpg,,,,
Non,Modèle 5006,Ben Seibel (1918 - 1985).,1951,,,Designer industriel américain.,Raymor,,,,,luminaire_2752.jpg,,,,
Non,,Ben Swildens (1938 - ?).,1973,,,Designer hollandais.,Max Ingrand. Verre Lumière Fontana arte,,,,,luminaire_4202.jpg,,,,
Non,,Ben Swildens (1938 - ?).,,,,Designer hollandais.,Max Ingrand. Verre Lumière Fontana arte,,,,,luminaire_4203.jpg,,,,
Non,Modèle 10626,Ben Swildens (1938 - ?).,1983,,,Designer hollandais.,Max Ingrand. Verre Lumière Fontana arte,,,,,luminaire_4201.jpg,,,,
Non,OEuf - Ca,Ben Swildens (1938 - ?).,1970,,,Designer hollandais.,Max Ingrand. Verre Lumière Fontana arte,,,,,luminaire_4200.jpg,,,,
Non,,Benjamin Gomez (1885-1959).,,,,Architecte français.,,,,,,luminaire_1421.jpg,,,,
Non,Aspherical sky light,Benjamin Graindorge (1980 - ).,2010,,,Designer français.,"Arteluce, Ymer&Malta,",,,,,luminaire_7341.jpg,,,,
Non,Baloon,Benjamin Graindorge (1980 - ).,2009,,,Designer français.,"Arteluce, Ymer&Malta,",,,,,luminaire_7343.jpg,,,,
Non,Cristal cane,Benjamin Graindorge (1980 - ).,2011,,,Designer français.,"Arteluce, Ymer&Malta,",,,,,luminaire_7340.jpg,,,,
Non,Morning mist,Benjamin Graindorge (1980 - ).,2011,,,Designer français.,"Arteluce, Ymer&Malta,",,,,,luminaire_7344.jpg,,,,
Non,Perche,Benjamin Graindorge (1980 - ).,2012,,,Designer français.,"Arteluce, Ymer&Malta,",,,,,luminaire_7342.jpg,,,,
Non,The Cave,Benjamin Graindorge (1980 - ).,,,,Designer français.,"Arteluce, Ymer&Malta,",,,,,luminaire_7346.jpg,,,,
Non,Cao Mao,Benjamin Hopf (1971 -).,,,,Designer allemand.,"Formagenda, Next, Kundalini",,,,,luminaire_6294.jpg,,,,
Non,Dna,Benjamin Hopf (1971 -).,,,,Designer allemand.,"Formagenda, Next, Kundalini",,,,,luminaire_6299.jpg,,,,
Non,Don Camillo,Benjamin Hopf (1971 -).,,,,Designer allemand.,"Formagenda, Next, Kundalini",,,,,luminaire_6297.jpg,,,,
Non,El senor,Benjamin Hopf (1971 -).,,,,Designer allemand.,"Formagenda, Next, Kundalini",,,,,luminaire_6295.jpg,,,,
Non,Network,Benjamin Hopf (1971 -).,,,,Designer allemand.,"Formagenda, Next, Kundalini",,,,,luminaire_6296.jpg,,,,
Non,Pearls,Benjamin Hopf (1971 -).,,,,Designer allemand.,"Formagenda, Next, Kundalini",,,,,luminaire_6298.jpg,,,,
Non,Float,Benjamin Hubert (1984 - ).,,,,Designer industriel londonien.,"Muuto, Fabbian",,,,,luminaire_5824.jpg,,,,
Non,Loom,Benjamin Hubert (1984 - ).,,,,Designer industriel londonien.,"Muuto, Fabbian",,,,,luminaire_5825.jpg,,,,
Non,Roofer,Benjamin Hubert (1984 - ).,,,,Designer industriel londonien.,"Muuto, Fabbian",,,,,luminaire_5826.jpg,,,,
Non,Spinning,Benjamin Hubert (1984 - ).,,,,Designer industriel londonien.,"Muuto, Fabbian",,,,,luminaire_5823.jpg,,,,
Non,Strand,Benjamin Hubert (1984 - ).,,,,Designer industriel londonien.,"Muuto, Fabbian",,,,,luminaire_5822.jpg,,,,
Non,,Benjamin Moore and Louis Mueller ( - ).,,,,Artiste et designer américain débute leur collaboration en 1987.,,,,,,luminaire_5596.jpg,,,,
Non,,Benjamin Moore and Louis Mueller ( - ).,,,,Artiste et designer américain débute leur collaboration en 1987.,,,,,,luminaire_5597.jpg,,,,
Non,,Benjamin Moore and Louis Mueller ( - ).,,,,Artiste et designer américain débute leur collaboration en 1987.,,,,,,luminaire_5599.jpg,,,,
Non,,Benjamin Moore and Louis Mueller ( - ).,,,,Artiste et designer américain débute leur collaboration en 1987.,,,,,,luminaire_5600.jpg,,,,
Non,The Hungarian,Benjamin Moore and Louis Mueller ( - ).,2009,,,Artiste et designer américain débute leur collaboration en 1987.,,,,,,luminaire_5598.jpg,,,,
Non,,Benoit Vieubled (?-?).,,,,Artiste et créateur de luminaires à Orléans.,,,,,,luminaire_6236.jpg,,,,
Non,,Benoit Vieubled (?-?).,,,,Artiste et créateur de luminaires à Orléans.,,,,,,luminaire_6237.jpg,,,,
Non,,Benoit Vieubled (?-?).,,,,Artiste et créateur de luminaires à Orléans.,,,,,,luminaire_6238.jpg,,,,
Non,,Benoit Vieubled (?-?).,,,,Artiste et créateur de luminaires à Orléans.,,,,,,luminaire_6239.jpg,,,,
Non,,Benoit Vieubled (?-?).,,,,Artiste et créateur de luminaires à Orléans.,,,,,,luminaire_6240.jpg,,,,
Non,,Bent Gantzel Boysen (?-?).,,,,Designer suedois.,lkea. Louis Poulsen Plastun,,,,,luminaire_5361.jpg,,,,
Non,,Bent Gantzel Boysen (?-?).,,,,Designer suedois.,lkea. Louis Poulsen Plastun,,,,,luminaire_5363.jpg,,,,
Non,Cirkel,Bent Gantzel Boysen (?-?).,1990,,,Designer suedois.,lkea. Louis Poulsen Plastun,,,,,luminaire_5360.jpg,,,,
Non,Duett,Bent Gantzel Boysen (?-?).,1983,,,Designer suedois.,lkea. Louis Poulsen Plastun,,,,,luminaire_5362.jpg,,,,
Non,,Bent Karlby (1912 - 1998).,,,,Architecte et designer danois.,"LYFA, ASK Lightings",,,,,luminaire_2024.jpg,,,,
Non,Danish barcelona,Bent Karlby (1912 - 1998).,1960,,,Architecte et designer danois.,"LYFA, ASK Lightings",,,,,luminaire_2023.jpg,,,,
Non,Kina,Bent Karlby (1912 - 1998).,1946,,,Architecte et designer danois.,"LYFA, ASK Lightings",,,,,luminaire_2025.jpg,,,,
Non,Pan,Bent Karlby (1912 - 1998).,1970,,,Architecte et designer danois.,"LYFA, ASK Lightings",,,,,luminaire_2027.jpg,,,,
Non,Pan,Bent Karlby (1912 - 1998).,1970,,,Architecte et designer danois.,"LYFA, ASK Lightings",,,,,luminaire_2028.jpg,,,,
Non,Peacock,Bent Karlby (1912 - 1998).,1960,,,Architecte et designer danois.,"LYFA, ASK Lightings",,,,,luminaire_2026.jpg,,,,
Oui,,Bernard Gitton (1935 - ).,,,,Artiste français.,,,,,,luminaire_5693.jpg,,,,
Oui,,Bernard Gitton (1935 - ).,,,,Artiste français.,,,,,,luminaire_5694.jpg,,,,
Oui,,Bernard Gitton (1935 - ).,,,,Artiste français.,,,,,,luminaire_5695.jpg,,,,
Non,Attribué,Bernard Palissy (1510-1590).,,,,"Potier, émailleur, peintre, artisan verrier, écrivain et savant français.",,,,,,luminaire_066.jpg,,,,
Non,Modèle 206,Bernard-Albin Gras (1886 - 1943).,1921,,,"En 1921, crée une gamme de lampes pour l’industrie et les bureaux d’études.",RAVEL,,,,,luminaire_1363.jpg,,,,
Non,Modèle 211,Bernard-Albin Gras (1886 - 1943).,1921,,,"En 1921, crée une gamme de lampes pour l’industrie et les bureaux d’études.",RAVEL,,,,,luminaire_1365.jpg,,,,
Non,Modèle 214,Bernard-Albin Gras (1886 - 1943).,1930,,,"En 1921, crée une gamme de lampes pour l’industrie et les bureaux d’études.",RAVEL,,,,,luminaire_1366.jpg,,,,
Non,Modèle 215,Bernard-Albin Gras (1886 - 1943).,1930,,,"En 1921, crée une gamme de lampes pour l’industrie et les bureaux d’études.",RAVEL,,,,,luminaire_1364.jpg,,,,
Non,Modèle 305,Bernard-Albin Gras (1886 - 1943).,1921,,,"En 1921, crée une gamme de lampes pour l’industrie et les bureaux d’études.",RAVEL,,,,,luminaire_1362.jpg,,,,
Non,,Bernhard Dessecker (? - ?).,,,,Architecte et designer allemand.,Moooi,,,,,luminaire_5716.jpg,,,,
Non,,Bernhard Dessecker (? - ?).,,,,Architecte et designer allemand.,Moooi,,,,,luminaire_5717.jpg,,,,
Non,,Bernhard Dessecker (? - ?).,,,,Architecte et designer allemand.,Moooi,,,,,luminaire_5718.jpg,,,,
Non,,Bernhardt-Vella (2008 - ).,,,,Fondé par la designer allemande Ellen Bernhardt et l’architecte d’intérieur italienne Paola Vella installé à Milan.,"Arflex, Rugiano, Fabbian, Artemide",,,,,luminaire_8135.jpg,,,,
Non,Amulette,Bernhardt-Vella (2008 - ).,,,,Fondé par la designer allemande Ellen Bernhardt et l’architecte d’intérieur italienne Paola Vella installé à Milan.,"Arflex, Rugiano, Fabbian, Artemide",,,,,luminaire_8134.jpg,,,,
Non,Papillon,Bernhardt-Vella (2008 - ).,,,,Fondé par la designer allemande Ellen Bernhardt et l’architecte d’intérieur italienne Paola Vella installé à Milan.,"Arflex, Rugiano, Fabbian, Artemide",,,,,luminaire_8136.jpg,,,,
Non,Trilogy,Bernhardt-Vella (2008 - ).,,,,Fondé par la designer allemande Ellen Bernhardt et l’architecte d’intérieur italienne Paola Vella installé à Milan.,"Arflex, Rugiano, Fabbian, Artemide",,,,,luminaire_8133.jpg,,,,
Non,,Bertil Brisborg (1910-1993).,,,,Architecte et designer suédois.,"Nordiska Kompaniet, Suède",,,,,luminaire_3652.jpg,,,,
Non,,Bertil Brisborg (1910-1993).,,,,Architecte et designer suédois.,"Nordiska Kompaniet, Suède",,,,,luminaire_3653.jpg,,,,
Non,,Bertil Brisborg (1910-1993).,,,,Architecte et designer suédois.,"Nordiska Kompaniet, Suède",,,,,luminaire_3654.jpg,,,,
Non,,Bertil Brisborg (1910-1993).,,,,Architecte et designer suédois.,"Nordiska Kompaniet, Suède",,,,,luminaire_3655.jpg,,,,
Non,Modèle ‘31234’,Bertil Brisborg (1910-1993).,1940,,,Architecte et designer suédois.,"Nordiska Kompaniet, Suède",,,,,luminaire_3651.jpg,,,,
Non,modèle 2043 - Ca,Bertil Brisborg (1910-1993).,1950,,,Architecte et designer suédois.,"Nordiska Kompaniet, Suède",,,,,luminaire_3650.jpg,,,,
Non,,Bertil Vallien (1938 - ).,,,,Maître verrier et designer suédois.,Bosa Smide,,,,,luminaire_5064.jpg,,,,
Non,,Bertil Vallien (1938 - ).,,,,Maître verrier et designer suédois.,Bosa Smide,,,,,luminaire_5065.jpg,,,,
Non,,Bertil Vallien (1938 - ).,,,,Maître verrier et designer suédois.,Bosa Smide,,,,,luminaire_5067.jpg,,,,
Non,,Bertil Vallien (1938 - ).,,,,Maître verrier et designer suédois.,Bosa Smide,,,,,luminaire_5068.jpg,,,,
Non,,Bertil Vallien (1938 - ).,,,,Maître verrier et designer suédois.,Bosa Smide,,,,,luminaire_5069.jpg,,,,
Non,,Bertil Vallien (1938 - ).,,,,Maître verrier et designer suédois.,Bosa Smide,,,,,luminaire_5070.jpg,,,,
Non,Heracleum Il,Bertjan Pot (1975 - ).,,,,Architecte et designer néerlandais .,Moooi,,,,,luminaire_6123.jpg,,,,
Non,Non Random,Bertjan Pot (1975 - ).,,,,Architecte et designer néerlandais .,Moooi,,,,,luminaire_6126.jpg,,,,
Non,Prop Ligh,Bertjan Pot (1975 - ).,,,,Architecte et designer néerlandais .,Moooi,,,,,luminaire_6127.jpg,,,,
Non,Prop Light,Bertjan Pot (1975 - ).,,,,Architecte et designer néerlandais .,Moooi,,,,,luminaire_6125.jpg,,,,
Non,Raimond,Bertjan Pot (1975 - ).,,,,Architecte et designer néerlandais .,Moooi,,,,,luminaire_6124.jpg,,,,
Non,,Bertoia (1915 - 1978).,,,,Sculpteur et designer italien naturalisé américain.,,,,,,luminaire_3521.jpg,,,,
Non,,Bertoia (1915 - 1978).,,,,Sculpteur et designer italien naturalisé américain.,,,,,,luminaire_3522.jpg,,,,
Non,,Bertoia (1915 - 1978).,,,,Sculpteur et designer italien naturalisé américain.,,,,,,luminaire_3523.jpg,,,,
Non,,Bertoia (1915 - 1978).,,,,Sculpteur et designer italien naturalisé américain.,,,,,,luminaire_3524.jpg,,,,
Non,,Bertoia (1915 - 1978).,,,,Sculpteur et designer italien naturalisé américain.,,,,,,luminaire_3525.jpg,,,,
Non,,Bertoia (1915 - 1978).,,,,Sculpteur et designer italien naturalisé américain.,,,,,,luminaire_3526.jpg,,,,
Non,Balance,Bertrand Balas (1935 - ).,1975,,,Architecte designer français.,"Gepo, Raak",,,,,luminaire_4434.jpg,,,,
Non,Fontaine Jaillissante,Bertrand Balas (1935 - ).,,,,Architecte designer français.,"Gepo, Raak",,,,,luminaire_4433.jpg,,,,
Non,Fontaine Jaillissante,Bertrand Balas (1935 - ).,,,,Architecte designer français.,"Gepo, Raak",,,,,luminaire_4435.jpg,,,,
Non,Bon Bon,Bethan Laura Wood (1983 - ).,2021,,,Designer anglaise.,Nilufar gallery,,,,,luminaire_7848.jpg,,,,
Non,Criss Cross,Bethan Laura Wood (1983 - ).,2013,,,Designer anglaise.,Nilufar gallery,,,,,luminaire_7846.jpg,,,,
Non,Criss Cross,Bethan Laura Wood (1983 - ).,2019,,,Designer anglaise.,Nilufar gallery,,,,,luminaire_7847.jpg,,,,
Non,Sputnik,Bethan Laura Wood (1983 - ).,2019,,,Designer anglaise.,Nilufar gallery,,,,,luminaire_7852.jpg,,,,
Non,Totem,Bethan Laura Wood (1983 - ).,2022,,,Designer anglaise.,Nilufar gallery,,,,,luminaire_7849.jpg,,,,
Non,Trellis Arches,Bethan Laura Wood (1983 - ).,2017,,,Designer anglaise.,Nilufar gallery,,,,,luminaire_7851.jpg,,,,
Non,,Biancardi & Jordan Arte (,,,,Editeur de luminaire italien concurrent direct de Poliarte.,,,,,,luminaire_4912.jpg,,,,
Non,,Biancardi & Jordan Arte (,,,,Editeur de luminaire italien concurrent direct de Poliarte.,,,,,,luminaire_4913.jpg,,,,
Non,,Biancardi & Jordan Arte (,,,,Editeur de luminaire italien concurrent direct de Poliarte.,,,,,,luminaire_4914.jpg,,,,
Non,,Biancardi & Jordan Arte (,,,,Editeur de luminaire italien concurrent direct de Poliarte.,,,,,,luminaire_4915.jpg,,,,
Non,Atribué,Biancardi & Jordan Arte (,,,,Editeur de luminaire italien concurrent direct de Poliarte.,,,,,,luminaire_4911.jpg,,,,
Non,Elia,Bina Baitel (1977 -).,,,,Architecte et designer française.,"Glass variation,",,,,,luminaire_6782.jpg,,,,
Non,Fur-Light,Bina Baitel (1977 -).,,,,Architecte et designer française.,"Glass variation,",,,,,luminaire_6784.jpg,,,,
Non,Harebell,Bina Baitel (1977 -).,,,,Architecte et designer française.,"Glass variation,",,,,,luminaire_6779.jpg,,,,
Non,Pad & Shagreen,Bina Baitel (1977 -).,,,,Architecte et designer française.,"Glass variation,",,,,,luminaire_6781.jpg,,,,
Non,Pull Over,Bina Baitel (1977 -).,2008,,,Architecte et designer française.,"Glass variation,",,,,,luminaire_6778.jpg,,,,
Non,Recto Verso,Bina Baitel (1977 -).,2015,,,Architecte et designer française.,"Glass variation,",,,,,luminaire_6780.jpg,,,,
Oui,,Birger Ekman (1905 - ?).,1938,,,Artiste suédois.,Mjôlby Intarsia,,,,,luminaire_1711.jpg,,,,
Non,,Birger Ekman (1905 - ?).,,,,Artiste suédois.,Mjôlby Intarsia,,,,,luminaire_1713.jpg,,,,
Non,,Birger Ekman (1905 - ?).,,,,Artiste suédois.,Mjôlby Intarsia,,,,,luminaire_1714.jpg,,,,
Oui,Glôssner co. comp,Birger Ekman (1905 - ?).,,,,Artiste suédois.,Mjôlby Intarsia,,,,,luminaire_1712.jpg,,,,
Non,,Bjôrn Svensson (?-?).,,,,Designer danois.,Elidus,,,,,luminaire_5379.jpg,,,,
Non,Kubik,Bjôrn Svensson (?-?).,,,,Designer danois.,Elidus,,,,,luminaire_5380.jpg,,,,
Non,,Bjorn Wiinblad (1918 - 2006).,,,,"Peintre, designer et artiste danois.",,,,,,luminaire_5312.jpg,,,,
Non,,Bjorn Wiinblad (1918 - 2006).,,,,"Peintre, designer et artiste danois.",,,,,,luminaire_5313.jpg,,,,
Non,,Bjorn Wiinblad (1918 - 2006).,,,,"Peintre, designer et artiste danois.",,,,,,luminaire_5314.jpg,,,,
Non,,Bjorn Wiinblad (1918 - 2006).,,,,"Peintre, designer et artiste danois.",,,,,,luminaire_5315.jpg,,,,
Non,,Bjorn Wiinblad (1918 - 2006).,,,,"Peintre, designer et artiste danois.",,,,,,luminaire_5316.jpg,,,,
Non,,BJS Skellefteä ( - ).,,,,Editeur de luminaires suedois.,,,,,,luminaire_3768.jpg,,,,
Non,,BJS Skellefteä ( - ).,,,,Editeur de luminaires suedois.,,,,,,luminaire_3769.jpg,,,,
Non,,BJS Skellefteä ( - ).,,,,Editeur de luminaires suedois.,,,,,,luminaire_3770.jpg,,,,
