Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,,Rigmor Nielsen (1909 - 1978).,,,,Artistes et designers céramistes les plus importants de Suède.,Rôrstrand de 1939 à 1973 et pour Designhuset de 1973 jusqu'à sa mort en 1990.,,,,,luminaire_3536.jpg,,,,
Non,,Rinaldo Cutini (1937 -).,,,,Designer italien.,Edition New Lamp,,,,,luminaire_4646.jpg,,,,
Non,Luna,Rinaldo Cutini (1937 -).,,,,Designer italien.,Edition New Lamp,,,,,luminaire_4645.jpg,,,,
Non,,RKoir Aruger & Lieter VVItte | f- {).,,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3828.jpg,,,,
Non,,RKoir Aruger & Lieter VVItte | f- {).,,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3829.jpg,,,,
Non,,RKoir Aruger & Lieter VVItte | f- {).,,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3831.jpg,,,,
Non,,RKoir Aruger & Lieter VVItte | f- {).,,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3832.jpg,,,,
Non,,RKoir Aruger & Lieter VVItte | f- {).,,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3833.jpg,,,,
Non,Modèle 2031 - Ca,RKoir Aruger & Lieter VVItte | f- {).,1970,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3827.jpg,,,,
Non,Oyster,RKoir Aruger & Lieter VVItte | f- {).,1968,,,Designers allemands.,"Staff Leuchten, osram",,,,,luminaire_3830.jpg,,,,
Non,,Robert - Mallet-Stevens (1886 - 1945).,1930,,,Architecte et designer français.,Villa Carvois,,,,,luminaire_1399.jpg,,,,
Non,,Robert - Mallet-Stevens (1886 - 1945).,1930,,,Architecte et designer français.,Villa Carvois,,,,,luminaire_1401.jpg,,,,
Non,,Robert - Mallet-Stevens (1886 - 1945).,1924,,,Architecte et designer français.,Villa Carvois,,,,,luminaire_1402.jpg,,,,
Non,,Robert - Mallet-Stevens (1886 - 1945).,,,,Architecte et designer français.,Villa Carvois,,,,,luminaire_1403.jpg,,,,
Non,Ca,Robert - Mallet-Stevens (1886 - 1945).,1930,,,Architecte et designer français.,Villa Carvois,,,,,luminaire_1400.jpg,,,,
Non,,Robert Adam (1728-1792) et James Adam (1730-1794).,,,,Les frères Adam ont donné le ton à l'architecture et aux intérieurs domestiques pendant Ila seconde moitié du XVIIIe siècle en Angleterre.,,,,,,luminaire_215.jpg,,,,
Non,Référence 1518 du catalogue,Robert Caillat (1954-1956),,,,Editeur de luminaires français.,"Soubrier, Jean Boris Lacroix",,,,,luminaire_2721.jpg,,,,
Non,,Robert Couturier (1905 - 2008).,,,,Sculpteur français.,,,,,,luminaire_2789.jpg,,,,
Non,,Robert Couturier (1905 - 2008).,,,,Sculpteur français.,,,,,,luminaire_2790.jpg,,,,
Non,,Robert Couturier (1905 - 2008).,,,,Sculpteur français.,,,,,,luminaire_2791.jpg,,,,
Non,,Robert de Schuytener (1959 - 1990).,,,,Fabrication de luminaire Français.,,,,,,luminaire_5385.jpg,,,,
Non,,Robert de Schuytener (1959 - 1990).,,,,Fabrication de luminaire Français.,,,,,,luminaire_5386.jpg,,,,
Non,,Robert de Schuytener (1959 - 1990).,,,,Fabrication de luminaire Français.,,,,,,luminaire_5387.jpg,,,,
Non,,Robert de Schuytener (1959 - 1990).,,,,Fabrication de luminaire Français.,,,,,,luminaire_5388.jpg,,,,
Non,Besitlite BL1,Robert Dudley Best (1892-1984).,,,,"Héritier de la plus grande entreprise de fabrication d’éclairage au monde, Best & Lloyd, fondée à Birmingham en 1840.",GUBI,,,,,luminaire_1648.jpg,,,,
Non,Besitlite BL10,Robert Dudley Best (1892-1984).,,,,"Héritier de la plus grande entreprise de fabrication d’éclairage au monde, Best & Lloyd, fondée à Birmingham en 1840.",GUBI,,,,,luminaire_1645.jpg,,,,
Non,Besitlite BL7,Robert Dudley Best (1892-1984).,,,,"Héritier de la plus grande entreprise de fabrication d’éclairage au monde, Best & Lloyd, fondée à Birmingham en 1840.",GUBI,,,,,luminaire_1647.jpg,,,,
Non,Besitlite BL9,Robert Dudley Best (1892-1984).,,,,"Héritier de la plus grande entreprise de fabrication d’éclairage au monde, Best & Lloyd, fondée à Birmingham en 1840.",GUBI,,,,,luminaire_1646.jpg,,,,
Non,Bestlite BL4,Robert Dudley Best (1892-1984).,,,,"Héritier de la plus grande entreprise de fabrication d’éclairage au monde, Best & Lloyd, fondée à Birmingham en 1840.",GUBI,,,,,luminaire_1644.jpg,,,,
Non,1837,Robert Garrard le Jeune (1793 - 1881).,,,,"Orfèvre anglais et directeur de Garrard & Co (anciennement Asprey & Garrard) fondée à Londres en 1735, par George Wickes.",,,,,,luminaire_624.jpg,,,,
Non,,Robert Goossens (1927 - 2016).,,,,Bijoutier et orfèvre français.,,,,,,luminaire_3816.jpg,,,,
Non,,Robert Goossens (1927 - 2016).,,,,Bijoutier et orfèvre français.,,,,,,luminaire_3817.jpg,,,,
Non,,Robert Goossens (1927 - 2016).,,,,Bijoutier et orfèvre français.,,,,,,luminaire_3818.jpg,,,,
Non,,Robert Goossens (1927 - 2016).,,,,Bijoutier et orfèvre français.,,,,,,luminaire_3819.jpg,,,,
Non,,Robert Goossens (1927 - 2016).,,,,Bijoutier et orfèvre français.,,,,,,luminaire_3820.jpg,,,,
Non,,Robert Haussmann (1931-2022).,,,,Architecte et designer suisse.,"Robert & Trix Haussmann, Swiss",,,,,luminaire_2996.jpg,,,,
Non,,Robert Haussmann (1931-2022).,,,,Architecte et designer suisse.,"Robert & Trix Haussmann, Swiss",,,,,luminaire_2997.jpg,,,,
Non,,Robert Haussmann (1931-2022).,,,,Architecte et designer suisse.,"Robert & Trix Haussmann, Swiss",,,,,luminaire_2999.jpg,,,,
Non,,Robert Haussmann (1931-2022).,,,,Architecte et designer suisse.,"Robert & Trix Haussmann, Swiss",,,,,luminaire_3000.jpg,,,,
Non,C300,Robert Haussmann (1931-2022).,1960,,,Architecte et designer suisse.,"Robert & Trix Haussmann, Swiss",,,,,luminaire_2998.jpg,,,,
Non,,Robert Lallemant (1902-1954).,,,,Céramiste et décorateur français.,Primavera,,,,,luminaire_1639.jpg,,,,
Non,,Robert Lallemant (1902-1954).,,,,Céramiste et décorateur français.,Primavera,,,,,luminaire_1640.jpg,,,,
Non,,Robert Lallemant (1902-1954).,,,,Céramiste et décorateur français.,Primavera,,,,,luminaire_1641.jpg,,,,
Non,,Robert Mathieu (1921- 2002).,1956,,,Créateurs et producteurs de luminaires les plus talentueux des années 1950.,"Editeur 242 P, En 1955, il achète l’enseigne « LE LUMINAIRE PARISIEN » . Michel Buffet, Jean-Boris Lacroix",,,,,luminaire_2339.jpg,,,,
Non,,Robert Mathieu (1921- 2002).,1954,,,Créateurs et producteurs de luminaires les plus talentueux des années 1950.,"Editeur 242 P, En 1955, il achète l’enseigne « LE LUMINAIRE PARISIEN » . Michel Buffet, Jean-Boris Lacroix",,,,,luminaire_2340.jpg,,,,
Non,242P,Robert Mathieu (1921- 2002).,1957,,,Créateurs et producteurs de luminaires les plus talentueux des années 1950.,"Editeur 242 P, En 1955, il achète l’enseigne « LE LUMINAIRE PARISIEN » . Michel Buffet, Jean-Boris Lacroix",,,,,luminaire_2341.jpg,,,,
Non,Ca,Robert Mathieu (1921- 2002).,1955,,,Créateurs et producteurs de luminaires les plus talentueux des années 1950.,"Editeur 242 P, En 1955, il achète l’enseigne « LE LUMINAIRE PARISIEN » . Michel Buffet, Jean-Boris Lacroix",,,,,luminaire_2338.jpg,,,,
Non,Ca,Robert Mathieu (1921- 2002).,1952,,,Créateurs et producteurs de luminaires les plus talentueux des années 1950.,"Editeur 242 P, En 1955, il achète l’enseigne « LE LUMINAIRE PARISIEN » . Michel Buffet, Jean-Boris Lacroix",,,,,luminaire_2343.jpg,,,,
Non,Lampe 13,Robert Mathieu (1921- 2002).,1952,,,Créateurs et producteurs de luminaires les plus talentueux des années 1950.,"Editeur 242 P, En 1955, il achète l’enseigne « LE LUMINAIRE PARISIEN » . Michel Buffet, Jean-Boris Lacroix",,,,,luminaire_2344.jpg,,,,
Oui,OSMOND,Robert Osmond (1711-1789).,,,,"Bronzier et ciseleurs français, devenant maître bronzier à Paris en 1746.",,,,,,luminaire_270.jpg,,,,
Non,,Robert Pansart (1909-1973).,,,,"Verrier et décorateur français, spécialisé dans les techniques de verre gravé, oxydé et églomisé.",,,,,,luminaire_2073.jpg,,,,
Non,,Robert Pansart (1909-1973).,,,,"Verrier et décorateur français, spécialisé dans les techniques de verre gravé, oxydé et églomisé.",,,,,,luminaire_2074.jpg,,,,
Non,,Robert Perot (1931 - 2003).,,,,Artiste et céramiste français.,,,,,,luminaire_4976.jpg,,,,
Non,,Robert Perot (1931 - 2003).,,,,Artiste et céramiste français.,,,,,,luminaire_4977.jpg,,,,
Oui,,Robert Phandeve ( - ).,,,,Artiste belge.,,,,,,luminaire_4310.jpg,,,,
Oui,,Robert Phandeve ( - ).,,,,Artiste belge.,,,,,,luminaire_4311.jpg,,,,
Non,,Robert Phandeve ( - ).,,,,Artiste belge.,,,,,,luminaire_4312.jpg,,,,
Non,,Robert Phandeve ( - ).,,,,Artiste belge.,,,,,,luminaire_4313.jpg,,,,
Non,,Robert Pierini (1950 - ).,,,,Verrier français.,,,,,,luminaire_5255.jpg,,,,
Non,,Robert Pierini (1950 - ).,,,,Verrier français.,,,,,,luminaire_5256.jpg,,,,
Non,,Robert Pierini (1950 - ).,,,,Verrier français.,,,,,,luminaire_5257.jpg,,,,
Non,,Robert Pierini (1950 - ).,,,,Verrier français.,,,,,,luminaire_5258.jpg,,,,
Non,,Robert Sonneman (1943 - ).,,,,Designer américain.,"Cheyenne Industries, Inc,",,,,,luminaire_5137.jpg,,,,
Non,,Robert Sonneman (1943 - ).,,,,Designer américain.,"Cheyenne Industries, Inc,",,,,,luminaire_5139.jpg,,,,
Non,,Robert Sonneman (1943 - ).,,,,Designer américain.,"Cheyenne Industries, Inc,",,,,,luminaire_5140.jpg,,,,
Non,,Robert Sonneman (1943 - ).,,,,Designer américain.,"Cheyenne Industries, Inc,",,,,,luminaire_5141.jpg,,,,
Non,Saturn,Robert Sonneman (1943 - ).,1980,,,Designer américain.,"Cheyenne Industries, Inc,",,,,,luminaire_5138.jpg,,,,
Non,Alquimista,Robert Stadler (1966 - ).,2003,,,Designer viennois.,,,,,,luminaire_8545.jpg,,,,
Non,EVAA,Robert Stadler (1966 - ).,2011,,,Designer viennois.,,,,,,luminaire_8543.jpg,,,,
Non,Nuit blanche Paris,Robert Stadler (1966 - ).,2007,,,Designer viennois.,,,,,,luminaire_8544.jpg,,,,
Non,Attribué,Robert-Joseph Auguste (1723 - 1805).,,,,Sculpteur et orfèvre royal de Louis XV et Louis XVI.,,,,,,luminaire_243.jpg,,,,
Non,"Attribué, Met Museum Nau Vark",Robert-Joseph Auguste (1723 - 1805).,,,,Sculpteur et orfèvre royal de Louis XV et Louis XVI.,,,,,,luminaire_244.jpg,,,,
Non,,Roberto Fallani (1937 - ?),,,,"Sculpteur, architecte et designer italien.",Formitalia,,,,,luminaire_5736.jpg,,,,
Non,,Roberto Fallani (1937 - ?),,,,"Sculpteur, architecte et designer italien.",Formitalia,,,,,luminaire_5737.jpg,,,,
Non,,Roberto Fallani (1937 - ?),,,,"Sculpteur, architecte et designer italien.",Formitalia,,,,,luminaire_5738.jpg,,,,
